
[2013-09-04 11:16:23] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:16:24] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:17:40] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:17:45] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:18:07] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:18:57] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:20:07] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:25:38] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:26:23] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:26:25] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:29:33] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:34:34] - C:\projekty\mediabrowser-plugin\mgallery\api\database\TaxonomyDao.php, line: 59, msg: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AND tt.parent =0' at line 5
[2013-09-04 11:34:37] - C:\projekty\mediabrowser-plugin\mgallery\api\database\TaxonomyDao.php, line: 59, msg: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AND tt.parent =0' at line 5
[2013-09-04 11:36:10] - C:\projekty\mediabrowser-plugin\mgallery\api\database\TaxonomyDao.php, line: 59, msg: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
[2013-09-04 11:36:12] - C:\projekty\mediabrowser-plugin\mgallery\api\database\TaxonomyDao.php, line: 59, msg: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
[2013-09-04 11:36:15] - C:\projekty\mediabrowser-plugin\mgallery\api\database\TaxonomyDao.php, line: 59, msg: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
[2013-09-04 11:36:17] - C:\projekty\mediabrowser-plugin\mgallery\api\database\TaxonomyDao.php, line: 59, msg: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
[2013-09-04 11:36:28] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
[2013-09-04 11:36:29] - C:\projekty\mediabrowser-plugin\mgallery\api\database\PostDao.php, line: 16, msg: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'tr.order' in 'order clause'
